City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
153,Acarau,BR,85.41,broken clouds,-2.8856,-40.12,castelo pizzaria
155,Mahebourg,MU,75.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
160,Polgar,HU,84.34,broken clouds,47.8667,21.1167,Outlet Hotel és Étterem Polgár
164,Isangel,VU,75.79,clear sky,-19.55,169.2667,Tanna Lodge
167,Tura,IN,77.22,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
170,Sompeta,IN,83.98,overcast clouds,18.9333,84.6,Netaji's Home
171,San Matias,BO,85.3,clear sky,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
172,Kavieng,PG,82.56,clear sky,-2.5744,150.7967,Nusa Island Retreat
174,Mtwara,TZ,82.9,broken clouds,-10.2667,40.1833,TIL Hotels Mtwara
176,Luena,AO,82.02,clear sky,-11.7833,19.9167,Hotel Kandamba
185,Hambantota,LK,82.74,broken clouds,6.1241,81.1185,Bungalow 63
186,Kropotkin,RU,86.67,scattered clouds,45.4375,40.5756,Hotel Europe Kropotkin
189,Tecoanapa,MX,76.86,broken clouds,16.5167,-98.75,Hotel Manglares
191,Hasaki,JP,77.4,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
192,Buchanan,LR,82.36,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
193,Ponta Do Sol,PT,81.72,clear sky,32.6667,-17.1,Hotel do Campo
198,Jiayuguan,CN,80.04,overcast clouds,39.8167,98.3,Jiugang Hotel - Jiayuguan
199,Fare,PF,77.74,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
205,Khulna,BD,80.37,overcast clouds,22.8135,89.5672,Hotel Jalico
206,Saint George,US,79.36,scattered clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
210,Sandakan,MY,83.88,few clouds,5.8402,118.1179,Hotel Sandakan
215,Caruray,PH,82.33,moderate rain,10.3094,119.0128,
216,Shwebo,MM,85.21,broken clouds,22.5667,95.7,MOON SHINE Guest House
220,Kihei,US,77.85,few clouds,20.785,-156.4656,Maui Sunset
224,Mount Vernon,US,76.62,few clouds,40.9126,-73.8371,Ramada by Wyndham Bronx
226,Ternate,ID,81.64,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
230,Morondava,MG,79.2,clear sky,-20.2833,44.2833,La Case Bambou
232,Amapa,BR,82.89,few clouds,1.0,-52.0,
235,Saint-Georges,GD,83.88,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
243,Linqiong,CN,80.42,few clouds,30.4159,103.4609,Tianlun Tanxianglou Hotel
245,Muli,MV,83.46,broken clouds,2.9167,73.5667,Medhufushi Island Resort
247,Caravelas,BR,76.91,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
249,Lagunas,PE,75.47,clear sky,-5.2269,-75.6753,Hospedaje Eco
250,Kapoeta,SS,79.45,light rain,4.7717,33.5903,Eastgate Hotel
255,Goure,NE,88.02,overcast clouds,13.9835,10.2704,
259,Kismayo,SO,79.11,broken clouds,-0.3582,42.5454,Agan-Hotel
261,Abha,SA,82.22,scattered clouds,18.2164,42.5053,Abha Hotel
262,Harper,LR,79.18,overcast clouds,4.375,-7.7169,Screensaver
264,Codajas,BR,79.56,overcast clouds,-3.8367,-62.0569,Hotel Tucunaré
267,Bucerias,MX,77.99,broken clouds,20.75,-105.3333,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
270,Mahibadhoo,MV,82.42,overcast clouds,3.7833,72.9667,Omadhoo Inn
271,Garowe,SO,84.43,overcast clouds,8.4054,48.4845,Curubo Hotel
